Wavelength[nm] Photosensitivity[A/W]
338.7622149837133 0.10518064939399874
346.9055374592833 0.11646504989583462
358.30618892508136 0.1333939526478748
371.33550488599343 0.15173167896317963
381.1074918566775 0.1700786132756299
392.5081433224755 0.18983437115134505
402.2801302931596 0.20676787790195794
408.7947882736156 0.21805688240236654
416.9381107491856 0.2307547104660398
425.08143322475564 0.24627939365338802
434.8534201954397 0.25897261771848856
442.9967426710097 0.2730838733439993
452.76872964169377 0.28436366984726236
464.1693811074918 0.29846571747562756
473.94136807817586 0.3111589415407282
483.7133550488599 0.3196118829203164
493.48534201954396 0.33089167942357944
504.885993485342 0.3421668719282697
517.915309446254 0.35485088799622483
530.9446254071661 0.3661214765023424
545.6026058631921 0.3802143161335621
560.2605863192182 0.3914803006411069
576.5472312703582 0.40556853627375383
589.5765472312703 0.4154256972180339
600.9771986970684 0.4252874621608868
610.7491856677525 0.43374040354047494
622.1498371335505 0.44218874092149035
628.6644951140064 0.4464106076127117
636.8078175895765 0.4520412978671977
648.2084690553746 0.4604896352482131
659.6091205211726 0.47035140019106597
675.8957654723126 0.48161278070003805
687.2964169381107 0.4900611180810534
701.9543973941368 0.5013271025885983
710.0977198697069 0.5069577928430843
723.1270358306189 0.5154015262255269
736.1563517915309 0.5252586871698071
749.1856677524429 0.5337024205522496
762.214983713355 0.5435595814965297
773.6156351791531 0.5520079188775451
788.2736156351791 0.560447048261415
801.3029315960912 0.5688907816438578
812.7035830618893 0.5773391190248731
824.1042345276873 0.5843740288440511
840.3908794788273 0.5942219817911857
856.6775244299674 0.6054833623001576
872.9641693811075 0.6153313152472923
887.6221498371335 0.6237704446311622
899.0228013029316 0.6308053544503401
912.0521172638437 0.6378356602709453
918.5667752442996 0.6420575269621667
923.4527687296417 0.6448705700901233
928.3387622149837 0.6462701856562425
934.8534201954396 0.6490786247856264
941.3680781758958 0.6518870639150102
946.2540716612378 0.6547001070429668
952.7687296416938 0.6575085461723507
957.6547231270358 0.6589081617384699
962.5407166123779 0.6588943497427515
967.4267100977199 0.6588805377470333
972.3127035830619 0.6574532981894776
977.1986970684039 0.6546126310700844
980.4560260586319 0.648949712825589
983.71335504886 0.6404599394574187
988.5993485342019 0.6305521345288383
993.485342019544 0.617817474476583
996.7426710097719 0.6065008459847377
1001.628664495114 0.5923527583706449
1008.14332247557 0.5683060738251171
1014.657980456026 0.5386056790322395
1019.5439739413681 0.5117367433616096
1022.8013029315961 0.4947664046224146
1026.0586319218241 0.4707289280740323
1029.315960912052 0.4509317342111624
1032.57328990228 0.4283076852246176
1035.830618892508 0.40709706379991023
1039.087947882736 0.3858864423752029
1042.345276872964 0.3618489658268206
1045.6026058631924 0.3349846341547634
1048.8599348534203 0.316600867853731
1052.1172638436483 0.29821710155269854
1055.3745928338762 0.27700648012799123
1057.0032573289902 0.26145417294920636
1060.2605863192182 0.2444838342100114
1063.5179153094464 0.22751349547081645
1066.7752442996743 0.21195658429345887
1068.403908794788 0.1992311322383491
1071.6612377850165 0.185087648622829
1076.5472312703582 0.16811270588506122
1081.4332247557002 0.14972433558545606
1084.6905537459284 0.132753996846261
1091.2052117263843 0.114361022548083
1096.0912052117264 0.1002129349339902
1100.9771986970684 0.08747827488173487
