Wavelength[nm] Temperature_Coefficient[%/C]
398.3695652173913 -0.1020408163265305
401.6304347826087 -0.09795918367346945
403.6950614366729 -0.09782608695652173
418.38669659735353 -0.08152173913043481
431.4390359168242 -0.07336956521739135
446.1262405482042 -0.06114130434782594
462.4438799621928 -0.048913043478260976
482.02238894139884 -0.03668478260869579
501.5964673913043 -0.02853260869565233
522.796550094518 -0.024456521739130377
547.2619328922495 -0.016304347826086918
571.7228851606806 -0.012228260869565188
594.5578331758035 -0.0040760869565217295
610.8621810018903 -0.0040760869565217295
635.3231332703214 0
664.6709593572779 0
690.757915879017 0
720.1057419659735 0
754.3448724007561 0
783.6926984877127 0
814.670959357278 0
853.8013941398866 0
868.4797377126654 0.0040760869565217295
883.1580812854443 0.008152173913043459
901.0972944234405 0.01222826086956541
920.6758034026465 0.024456521739130377
938.6327386578449 0.044836956521739024
951.702800094518 0.06929347826086962
963.1468572778829 0.09782608695652173
972.9737712665407 0.13858695652173925
979.5353851606806 0.1752717391304348
986.0969990548205 0.2119565217391306
991.0281781663517 0.24864130434782594
995.9593572778828 0.28532608695652173
999.2601016068053 0.3220108695652173
1004.1912807183365 0.3586956521739131
1009.1268903591683 0.3994565217391304
1014.0625000000001 0.44021739130434767
1017.3809664461248 0.4932065217391306
1022.3298676748583 0.5461956521739131
1025.639473062382 0.5910326086956521
1030.5883742911153 0.644021739130435
1033.897979678639 0.6888586956521741
1037.2120155954633 0.7377717391304348
1040.5216209829869 0.7826086956521738
1045.4705222117204 0.8355978260869565
1048.780127599244 0.8804347826086958
1052.0897329867676 0.9252717391304348
1055.4037689035918 0.9741847826086958
1060.352670132325 1.0271739130434783
1065.3104324196597 1.0883152173913044
1070.2681947069946 1.1494565217391304
1075.217095935728 1.202445652173913
1080.1659971644615 1.2554347826086958
1086.7586247637053 1.3206521739130435
1091.7119565217392 1.377717391304348
1096.6608577504726 1.4307065217391306
1101.6053284499055 1.4796195652173914
