Temps ;Temperatur;Consigne_T;Humidite;Consigne_H
(s);(�C);(�C);(%);(%)
5010;24.92;25.0;120.0;255.0
5040;24.95;25.0;120.0;255.0
5070;25.03;25.0;120.0;255.0
5100;25.07;25.0;120.0;255.0
5130;25.06;25.0;120.0;255.0
5160;25.05;25.0;120.0;255.0
5190;25.05;25.0;120.0;255.0
5220;25.03;25.0;120.0;255.0
5250;25.0;25.0;120.0;255.0
5280;24.99;25.0;120.0;255.0
5310;24.96;25.0;120.0;255.0
5340;24.9;25.0;120.0;255.0
5370;24.95;25.0;120.0;255.0
5400;25.03;25.0;120.0;255.0
5430;25.05;25.0;120.0;255.0
5460;25.06;25.0;120.0;255.0
5490;25.03;25.0;120.0;255.0
5520;25.03;25.0;120.0;255.0
5550;25.03;25.0;120.0;255.0
5580;25.01;25.0;120.0;255.0
5610;24.98;25.0;120.0;255.0
5640;24.92;25.0;120.0;255.0
5670;24.9;25.0;120.0;255.0
5700;24.99;25.0;120.0;255.0
5730;25.05;25.0;120.0;255.0
5760;25.06;25.0;120.0;255.0
5790;25.05;25.0;120.0;255.0
5820;25.03;25.0;120.0;255.0
5850;25.0;25.0;120.0;255.0
5880;25.0;25.0;120.0;255.0
5910;25.0;25.0;120.0;255.0
5940;24.96;25.0;120.0;255.0
5970;24.92;25.0;120.0;255.0
6000;24.89;25.0;120.0;255.0
6030;25.0;25.0;120.0;255.0
6060;25.07;25.0;120.0;255.0
6090;25.07;25.0;120.0;255.0
6120;25.03;25.0;120.0;255.0
6150;25.03;25.0;120.0;255.0
6180;25.01;25.0;120.0;255.0
6210;25.03;25.0;120.0;255.0
6240;25.0;25.0;120.0;255.0
6270;24.96;25.0;120.0;255.0
6300;24.92;25.0;120.0;255.0
6330;24.9;25.0;120.0;255.0
6360;24.96;25.0;120.0;255.0
6390;25.05;25.0;120.0;255.0
6420;25.06;25.0;120.0;255.0
6450;25.06;25.0;120.0;255.0
6480;25.03;25.0;120.0;255.0
6510;25.03;25.0;120.0;255.0
6540;25.0;25.0;120.0;255.0
6570;24.99;25.0;120.0;255.0
6600;24.99;25.0;120.0;255.0
6630;24.94;25.0;120.0;255.0
6660;24.9;25.0;120.0;255.0
6690;24.99;25.0;120.0;255.0
6720;25.03;25.0;120.0;255.0
6750;25.05;25.0;120.0;255.0
6780;25.05;25.0;120.0;255.0
6810;25.03;25.0;120.0;255.0
6840;25.0;25.0;120.0;255.0
6870;24.99;25.0;120.0;255.0
6900;24.99;25.0;120.0;255.0
6930;24.94;25.0;120.0;255.0
6960;24.88;25.0;120.0;255.0
6990;24.95;25.0;120.0;255.0
7020;25.03;25.0;120.0;255.0
7050;25.09;25.0;120.0;255.0
7080;25.07;25.0;120.0;255.0
7110;25.03;25.0;120.0;255.0
7140;25.01;25.0;120.0;255.0
7170;25.01;25.0;120.0;255.0
7200;25.0;25.0;120.0;255.0
7230;24.99;25.0;120.0;255.0
7260;24.96;25.0;120.0;255.0
7290;24.89;25.0;120.0;255.0
7320;24.98;25.0;120.0;255.0
7350;25.05;25.0;120.0;255.0
7380;25.05;25.0;120.0;255.0
7410;25.03;25.0;120.0;255.0
7440;25.03;25.0;120.0;255.0
7470;25.03;25.0;120.0;255.0
