Time Current Current STD
02/05/2019 19:38:11 2.904518E-8 6.636610E-12
02/05/2019 19:38:43 2.902025E-8 1.139002E-11
02/05/2019 19:39:16 2.903685E-8 1.017291E-11
02/05/2019 19:39:48 2.902394E-8 7.920333E-12
02/05/2019 19:40:21 2.903567E-8 8.262458E-12
02/05/2019 19:40:53 2.902306E-8 5.634457E-12
02/05/2019 19:41:26 2.902822E-8 7.142227E-12
02/05/2019 19:41:58 2.902376E-8 9.897389E-12
02/05/2019 19:42:31 2.902383E-8 1.286751E-11
02/05/2019 19:43:03 2.899353E-8 2.351576E-11
02/05/2019 19:43:36 2.900575E-8 1.255869E-11
02/05/2019 19:44:08 2.900337E-8 1.143544E-11
02/05/2019 19:44:41 2.898997E-8 9.900417E-12
02/05/2019 19:45:13 2.897539E-8 1.140213E-11
02/05/2019 19:45:46 2.897430E-8 1.036365E-11
02/05/2019 19:46:18 2.895022E-8 6.230904E-12
02/05/2019 19:46:51 2.895108E-8 1.151415E-11
02/05/2019 19:47:23 2.893965E-8 6.539725E-12
02/05/2019 19:47:56 2.893272E-8 1.137185E-11
02/05/2019 19:48:28 2.891661E-8 6.412563E-12
02/05/2019 19:49:01 2.891654E-8 1.396352E-11
02/05/2019 19:49:33 2.890440E-8 5.667761E-12
02/05/2019 19:50:06 2.889406E-8 9.797477E-12
02/05/2019 19:50:38 2.888760E-8 1.460236E-11
02/05/2019 19:51:11 2.887665E-8 1.290082E-11
02/05/2019 19:51:43 2.886603E-8 1.292504E-11
02/05/2019 19:52:16 2.885886E-8 1.221960E-11
02/05/2019 19:52:48 2.883907E-8 1.029704E-11
02/05/2019 19:53:21 2.882732E-8 1.089046E-11
02/05/2019 19:53:53 2.882106E-8 1.536533E-11
02/05/2019 19:54:26 2.881326E-8 8.828628E-12
02/05/2019 19:54:58 2.881314E-8 8.262458E-12
02/05/2019 19:55:31 2.880045E-8 1.039392E-11
02/05/2019 19:56:03 2.879103E-8 1.390297E-11
02/05/2019 19:56:36 2.878408E-8 9.528016E-12
