Time Current Current STD
07/05/2019 14:54:12 4.933493E-10 9.170935E-12
07/05/2019 14:54:45 4.922218E-10 1.770276E-11
07/05/2019 14:55:17 4.884018E-10 5.983848E-13
07/05/2019 14:55:49 4.818104E-10 9.663957E-13
07/05/2019 14:56:22 4.780191E-10 6.017152E-13
07/05/2019 14:56:54 4.753085E-10 4.922657E-13
07/05/2019 14:57:26 4.744315E-10 8.019337E-13
07/05/2019 14:57:59 4.729374E-10 1.107787E-12
07/05/2019 14:58:31 4.715096E-10 9.452627E-13
07/05/2019 14:59:03 4.721829E-10 3.793646E-13
07/05/2019 14:59:36 4.722520E-10 3.031284E-13
07/05/2019 15:00:08 4.746816E-10 6.034713E-12
07/05/2019 15:00:40 4.726064E-10 2.324933E-13
07/05/2019 15:01:13 4.720856E-10 6.559102E-13
07/05/2019 15:01:45 4.727361E-10 4.152725E-13
07/05/2019 15:02:17 4.727973E-10 2.895645E-13
07/05/2019 15:02:50 4.729143E-10 2.284362E-13
07/05/2019 15:03:22 4.729708E-10 3.350701E-13
07/05/2019 15:03:54 4.734682E-10 3.938065E-13
07/05/2019 15:04:27 4.733999E-10 3.528424E-13
07/05/2019 15:04:59 4.746507E-10 4.739181E-13
07/05/2019 15:05:31 4.749000E-10 2.198377E-13
07/05/2019 15:06:04 4.755616E-10 2.399716E-13
07/05/2019 15:06:36 4.758413E-10 5.370446E-13
07/05/2019 15:07:08 4.763538E-10 8.242778E-13
07/05/2019 15:07:41 4.753099E-10 4.296206E-12
07/05/2019 15:08:13 4.797945E-10 5.411289E-12
07/05/2019 15:08:45 4.769061E-10 4.569330E-13
07/05/2019 15:09:18 4.768837E-10 4.230839E-13
07/05/2019 15:09:50 4.770751E-10 4.791862E-13
07/05/2019 15:10:22 4.607591E-10 1.096788E-11
07/05/2019 15:10:55 4.769134E-10 4.498786E-13
07/05/2019 15:11:27 4.775832E-10 2.928949E-13
07/05/2019 15:11:59 4.772785E-10 3.265321E-13
07/05/2019 15:12:32 4.774345E-10 3.431539E-13
07/05/2019 15:13:04 4.774526E-10 3.659824E-13
07/05/2019 15:13:36 4.776689E-10 4.412800E-13
07/05/2019 15:14:09 4.781322E-10 4.707088E-13
07/05/2019 15:14:41 4.778265E-10 2.667360E-13
07/05/2019 15:15:13 4.778106E-10 3.981966E-13
07/05/2019 15:15:46 4.783728E-10 3.286514E-13
07/05/2019 15:16:18 4.784915E-10 2.674929E-13
07/05/2019 15:16:50 4.787037E-10 4.450343E-13
